inventory_id,date,region,product,supplier,warehouse,inventory_level,reorder_point,demand_forecast,lead_time_days,supplier_delay_days,order_quantity,unit_cost,holding_cost,stockout_count,supplier_rating,risk_level,on_time_delivery_rate,inventory_value,days_of_supply,shortage_risk
INV-000533,2023-04-21,East,Finished Good 2,Supplier-045,WH-West,1108,1314,3742,14,16,3792,346.14,6.39,11,3.2,Low,0.87,383523.12,8.9,1
INV-000534,2022-07-02,East,Finished Good 1,Supplier-011,WH-West,1126,1609,3958,55,11,2420,173.26,6.77,10,1.1,High,0.79,195090.76,8.5,1
INV-000535,2022-09-29,East,Component X,Supplier-047,WH-North,4881,350,2493,57,17,4028,21.71,1.26,15,2.6,Medium,0.85,105966.51,58.7,0
INV-000536,2023-10-06,West,Packaging,Supplier-012,WH-North,1041,489,2284,55,13,4005,333.13,8.32,19,3.7,Low,0.95,346788.33,13.7,0
INV-000537,2024-01-03,West,Packaging,Supplier-040,WH-East,9542,447,858,18,16,901,180.08,8.93,15,2.2,Low,0.73,1718323.36,333.6,0
INV-000538,2022-12-17,North,Equipment,Supplier-036,WH-West,4450,1547,2248,33,20,3353,315.96,9.9,1,1.1,High,0.87,1406022.0,59.4,0
INV-000539,2023-02-19,Central,Raw Material A,Supplier-036,WH-East,313,654,1771,57,23,2763,384.2,3.78,4,3.7,Low,0.95,120254.6,5.3,1
INV-000540,2023-12-08,Central,Finished Good 1,Supplier-004,WH-East,5146,216,3317,18,23,3289,17.37,6.27,7,4.2,Low,0.95,89386.02,46.5,0
INV-000541,2024-04-01,West,Raw Material A,Supplier-013,WH-East,514,811,1996,31,26,3586,323.75,1.65,17,2.4,Low,0.7,166407.5,7.7,1
INV-000542,2022-08-11,North,Packaging,Supplier-021,WH-West,3445,1688,4777,28,12,780,413.88,4.49,14,1.9,Low,0.8,1425816.6,21.6,0
INV-000543,2024-08-14,East,Packaging,Supplier-038,WH-West,7759,621,3417,7,13,4037,7.28,8.66,14,4.8,Low,0.89,56485.52,68.1,0
INV-000544,2022-06-12,South,Raw Material B,Supplier-019,WH-West,8520,378,4821,36,23,602,162.04,7.35,8,3.4,Low,0.87,1380580.8,53.0,0
INV-000545,2024-08-08,South,Raw Material B,Supplier-044,WH-North,2407,579,3257,43,20,2088,345.21,5.39,0,1.4,Critical,0.86,830920.47,22.2,0
INV-000546,2022-01-22,Central,Packaging,Supplier-046,WH-East,5821,1661,1316,36,16,1506,420.91,8.47,7,2.6,Low,0.71,2450117.11,132.7,0
INV-000547,2023-02-24,East,Raw Material A,Supplier-022,WH-West,9744,773,2858,52,18,1750,347.71,8.39,19,2.8,High,0.81,3388086.24,102.3,0
INV-000548,2022-12-03,Central,Raw Material A,Supplier-037,WH-East,6364,615,512,36,7,219,414.94,9.13,18,2.6,Medium,0.88,2640678.16,372.9,0
INV-000549,2022-07-28,North,Component X,Supplier-042,WH-North,6130,479,1271,57,6,215,425.56,2.41,4,1.5,High,0.79,2608682.8,144.7,0
INV-000550,2022-06-10,Central,Component X,Supplier-038,WH-Central,6617,1537,2369,41,28,2385,396.67,2.68,13,4.7,Low,0.76,2624765.39,83.8,0
INV-000551,2022-12-01,South,Finished Good 1,Supplier-016,WH-North,452,998,2525,42,2,2042,160.42,9.77,5,4.6,Medium,0.95,72509.84,5.4,1
INV-000552,2022-01-01,North,Component X,Supplier-022,WH-West,5694,1559,2798,21,4,3187,121.34,5.31,3,4.4,Critical,0.9,690909.96,61.1,0
INV-000553,2024-02-17,North,Equipment,Supplier-033,WH-South,2499,547,1824,38,15,4401,240.65,6.66,19,4.3,High,0.97,601384.35,41.1,0
INV-000554,2022-08-19,South,Finished Good 1,Supplier-014,WH-West,5101,509,4425,54,26,4472,287.25,9.11,11,3.2,Low,0.93,1465262.25,34.6,0
INV-000555,2023-03-25,Central,Finished Good 1,Supplier-010,WH-Central,7649,1868,3956,2,25,612,16.05,5.66,18,3.4,Critical,0.72,122766.45,58.0,0
INV-000556,2024-05-14,North,Component X,Supplier-018,WH-North,6934,1113,4893,41,5,1929,453.96,1.92,9,4.2,High,0.87,3147758.64,42.5,0
INV-000557,2023-05-03,Central,Raw Material A,Supplier-016,WH-West,2446,241,972,53,13,1187,186.95,4.16,7,1.8,Medium,0.78,457279.7,75.5,0
INV-000558,2024-11-17,East,Component Y,Supplier-026,WH-East,5615,1881,1187,34,8,1423,81.65,5.41,14,2.9,High,0.99,458464.75,141.9,0
INV-000559,2023-10-13,North,Finished Good 1,Supplier-034,WH-West,4412,869,279,4,9,3479,105.59,5.01,16,2.5,High,0.85,465863.08,474.4,0
INV-000560,2022-09-29,South,Component X,Supplier-014,WH-South,9949,1565,1651,8,26,3530,155.66,9.95,5,3.1,Medium,0.9,1548661.34,180.8,0
INV-000561,2024-08-15,South,Component X,Supplier-042,WH-Central,5625,1168,2726,40,0,1159,181.0,2.7,11,2.8,Medium,0.7,1018125.0,61.9,0
INV-000562,2024-10-12,Central,Raw Material A,Supplier-037,WH-North,3623,149,1500,31,24,2754,456.93,7.74,0,1.9,Low,0.89,1655457.39,72.5,0
INV-000563,2023-12-08,West,Raw Material A,Supplier-035,WH-West,1001,1383,3342,18,21,4865,177.79,0.8,15,4.5,Critical,0.71,177967.79,9.0,1
INV-000564,2024-02-10,East,Raw Material B,Supplier-033,WH-East,9635,1260,3303,59,19,1361,117.4,3.97,7,3.2,Low,0.8,1131149.0,87.5,0
INV-000565,2022-09-06,West,Raw Material B,Supplier-005,WH-West,6936,1005,3809,19,17,1783,194.05,1.43,13,4.2,High,0.74,1345930.8,54.6,0
INV-000566,2023-01-25,Central,Equipment,Supplier-038,WH-West,6065,1863,2034,27,12,4457,89.75,5.89,7,2.1,Low,0.84,544333.75,89.5,0
INV-000567,2023-03-23,West,Packaging,Supplier-011,WH-West,7919,735,4931,49,15,2848,243.42,3.21,14,3.8,Low,0.97,1927642.98,48.2,0
INV-000568,2024-07-05,Central,Packaging,Supplier-050,WH-East,2755,491,4239,21,24,4986,464.56,6.42,11,2.3,Low,0.89,1279862.8,19.5,0
INV-000569,2022-06-02,East,Component X,Supplier-040,WH-South,7420,1716,1592,26,4,1576,374.23,6.09,15,1.9,Low,0.77,2776786.6,139.8,0
INV-000570,2023-08-31,Central,Component X,Supplier-019,WH-East,6333,1438,4103,21,21,2631,444.85,5.39,0,3.2,Low,0.89,2817235.05,46.3,0
INV-000571,2023-09-21,Central,Finished Good 2,Supplier-050,WH-East,5527,217,1556,48,17,246,489.02,8.53,5,2.2,Low,0.88,2702813.54,106.6,0
INV-000572,2023-06-26,Central,Component Y,Supplier-006,WH-West,1880,718,2624,4,3,2053,192.45,4.68,4,2.6,Low,0.86,361806.0,21.5,0
INV-000573,2022-04-11,East,Equipment,Supplier-031,WH-Central,3605,886,2004,9,0,1656,91.34,7.66,0,3.5,Low,0.78,329280.7,54.0,0
INV-000574,2022-12-12,West,Finished Good 2,Supplier-017,WH-South,5248,1657,305,51,27,1828,326.64,4.56,9,3.8,High,0.83,1714206.72,516.2,0
INV-000575,2023-10-24,Central,Packaging,Supplier-040,WH-Central,2883,590,4347,56,7,4957,334.93,9.6,1,1.8,Medium,0.82,965603.19,19.9,0
INV-000576,2022-04-08,West,Finished Good 2,Supplier-037,WH-West,8804,710,2071,58,14,4953,322.8,2.02,0,4.0,High,0.77,2841931.2,127.5,0
INV-000577,2022-10-16,South,Component Y,Supplier-011,WH-East,4870,252,2914,4,5,522,383.96,7.48,1,2.0,Critical,0.91,1869885.2,50.1,0
INV-000578,2024-03-21,South,Raw Material A,Supplier-049,WH-South,8204,1207,1767,42,11,2405,101.89,1.11,16,3.6,High,0.94,835905.56,139.3,0
INV-000579,2023-08-26,South,Component X,Supplier-041,WH-West,5981,1176,1043,39,7,3294,7.52,2.01,10,4.9,High,0.78,44977.12,172.0,0
INV-000580,2024-11-11,East,Component X,Supplier-016,WH-Central,2445,1660,4967,35,18,2703,250.79,5.53,0,1.0,High,0.97,613181.55,14.8,0
INV-000581,2022-03-30,Central,Component X,Supplier-007,WH-North,9588,242,4491,54,3,3187,74.4,4.81,2,2.2,Medium,0.94,713347.2,64.0,0
INV-000582,2022-07-13,Central,Component Y,Supplier-033,WH-East,1107,807,1069,16,6,2590,15.02,9.62,16,2.6,Low,0.95,16627.14,31.1,0
INV-000583,2024-06-02,Central,Finished Good 1,Supplier-045,WH-West,3559,1406,4581,17,5,1746,230.21,0.51,1,3.4,Medium,0.93,819317.39,23.3,0
INV-000584,2023-07-19,North,Finished Good 1,Supplier-039,WH-North,4108,1512,3152,7,14,3172,339.85,6.17,4,3.1,Medium,0.99,1396103.8,39.1,0
INV-000585,2023-08-07,South,Raw Material B,Supplier-035,WH-East,6877,1148,2776,3,20,1112,269.37,3.52,12,3.9,Low,0.74,1852457.49,74.3,0
INV-000586,2022-04-19,East,Finished Good 1,Supplier-018,WH-North,6554,1582,1968,36,3,1802,16.78,5.11,10,3.5,High,0.73,109976.12,99.9,0
INV-000587,2023-04-30,West,Finished Good 2,Supplier-046,WH-West,3846,1848,3614,36,26,4249,97.93,5.78,5,3.3,Medium,0.97,376638.78,31.9,0
INV-000588,2024-07-14,Central,Raw Material B,Supplier-042,WH-South,3895,307,4524,54,17,1924,215.31,5.63,14,2.4,Low,0.85,838632.45,25.8,0
INV-000589,2023-02-24,West,Finished Good 1,Supplier-003,WH-East,5223,1866,193,57,7,2988,408.34,9.62,0,1.8,Low,0.79,2132759.82,811.9,0
INV-000590,2023-05-28,Central,Raw Material B,Supplier-032,WH-West,7399,551,4875,48,23,4101,148.51,9.87,7,2.4,Low,0.97,1098825.49,45.5,0
INV-000591,2022-07-28,South,Raw Material A,Supplier-029,WH-Central,746,1850,4166,37,22,308,427.86,5.3,14,1.0,Critical,0.82,319183.56,5.4,1
INV-000592,2024-03-26,South,Raw Material A,Supplier-031,WH-West,4431,578,1342,57,16,1201,418.63,4.32,1,1.8,High,0.74,1854949.53,99.1,0
INV-000593,2024-08-21,North,Component Y,Supplier-035,WH-Central,3236,254,3194,15,14,3316,312.81,7.37,14,2.3,Low,0.73,1012253.16,30.4,0
INV-000594,2024-12-30,North,Component Y,Supplier-013,WH-West,8373,777,1399,48,25,4952,422.95,5.43,1,4.1,High,0.86,3541360.35,179.5,0
INV-000595,2022-08-10,Central,Component X,Supplier-041,WH-South,1462,364,4679,38,10,1942,328.29,7.49,18,1.1,Low,0.7,479959.98,9.4,0
INV-000596,2022-10-18,West,Finished Good 2,Supplier-004,WH-South,690,1954,1605,17,14,1501,95.36,4.14,0,1.1,Medium,0.99,65798.4,12.9,1
INV-000597,2024-08-06,North,Raw Material A,Supplier-042,WH-Central,4051,785,4955,54,15,2526,6.82,4.92,13,4.5,Low,0.73,27627.82,24.5,0
INV-000598,2024-10-20,East,Component Y,Supplier-010,WH-South,6836,1243,877,7,20,2798,298.49,1.27,2,2.5,Low,0.81,2040477.64,233.8,0
INV-000599,2024-11-17,South,Raw Material B,Supplier-048,WH-South,50,1962,728,4,24,1545,103.54,6.74,15,1.1,Low,0.79,5177.0,2.1,1
INV-000600,2022-12-15,West,Raw Material A,Supplier-020,WH-Central,6445,1399,1849,46,28,3511,305.57,8.29,6,4.9,Low,0.82,1969398.65,104.6,0
INV-000601,2023-01-18,Central,Packaging,Supplier-030,WH-East,6626,1792,4157,59,9,2220,109.69,2.19,15,2.2,Low,0.92,726805.94,47.8,0
INV-000602,2022-06-03,Central,Raw Material A,Supplier-026,WH-West,9582,1911,1357,10,0,4546,64.56,9.54,4,4.4,Low,0.85,618613.92,211.8,0
INV-000603,2022-01-29,South,Packaging,Supplier-029,WH-South,6905,352,1552,17,12,1450,211.06,9.83,7,3.6,Medium,0.73,1457369.3,133.5,0
INV-000604,2022-11-27,West,Raw Material B,Supplier-045,WH-North,2993,446,4545,15,5,3150,374.71,5.97,15,1.3,High,0.73,1121507.03,19.8,0
INV-000605,2022-07-08,East,Raw Material B,Supplier-034,WH-East,7984,469,4967,18,24,3401,118.65,1.25,13,1.2,Low,0.79,947301.6,48.2,0
INV-000606,2024-10-03,Central,Equipment,Supplier-025,WH-South,9105,1819,3703,23,9,2350,419.54,8.06,8,4.0,Low,0.76,3819911.7,73.8,0
INV-000607,2023-01-09,South,Raw Material A,Supplier-033,WH-North,6295,709,2282,15,20,2704,446.42,4.94,19,3.8,Low,0.85,2810213.9,82.8,0
INV-000608,2022-07-29,North,Finished Good 2,Supplier-009,WH-West,4111,1330,3433,55,15,2339,128.76,8.72,13,1.4,Medium,0.99,529332.36,35.9,0
INV-000609,2023-02-01,South,Finished Good 2,Supplier-016,WH-South,2142,499,1924,55,6,3651,130.4,8.19,11,4.3,Low,0.91,279316.8,33.4,0
INV-000610,2023-06-19,South,Component X,Supplier-009,WH-North,8284,263,4334,28,5,4187,178.95,6.06,15,3.6,Low,0.97,1482421.8,57.3,0
INV-000611,2024-11-29,North,Packaging,Supplier-015,WH-North,3520,1620,4187,18,24,1826,356.26,0.83,1,3.1,Low,0.86,1254035.2,25.2,0
INV-000612,2024-05-09,East,Raw Material A,Supplier-009,WH-South,7841,401,2760,13,0,1158,62.29,6.13,1,4.5,Low,0.89,488415.89,85.2,0
INV-000613,2022-12-18,South,Packaging,Supplier-050,WH-West,7068,454,4213,58,12,4908,397.39,7.74,16,2.1,Medium,0.78,2808752.52,50.3,0
INV-000614,2023-11-28,South,Raw Material A,Supplier-022,WH-South,2062,515,2053,36,9,3561,258.85,6.72,8,3.9,Medium,0.74,533748.7,30.1,0
INV-000615,2024-10-03,South,Packaging,Supplier-015,WH-South,9041,807,3227,26,26,2207,299.44,6.72,18,4.7,High,0.73,2707237.04,84.1,0
INV-000616,2024-06-15,West,Component X,Supplier-027,WH-West,7988,178,4568,13,16,2877,407.3,7.78,16,3.7,Medium,0.82,3253512.4,52.5,0
INV-000617,2023-04-24,Central,Raw Material A,Supplier-001,WH-East,9323,262,4441,6,20,941,51.24,5.53,10,2.8,Medium,0.77,477710.52,63.0,0
INV-000618,2024-05-22,West,Raw Material B,Supplier-040,WH-Central,9003,1763,1702,57,28,2583,433.1,7.77,15,4.6,Critical,0.74,3899199.3,158.7,0
INV-000619,2023-04-20,South,Finished Good 1,Supplier-007,WH-South,1074,1367,1304,53,23,1864,471.59,2.61,1,3.1,Low,0.98,506487.66,24.7,1
INV-000620,2023-05-13,South,Packaging,Supplier-010,WH-East,5618,831,2377,25,13,3027,343.25,4.37,18,2.9,Medium,0.74,1928378.5,70.9,0
INV-000621,2022-08-24,North,Raw Material B,Supplier-040,WH-North,9056,132,4290,29,4,1225,384.61,6.76,5,4.2,High,0.72,3483028.16,63.3,0
INV-000622,2024-11-21,North,Component X,Supplier-024,WH-Central,4740,1541,3633,36,10,967,64.99,2.06,11,2.2,Medium,0.72,308052.6,39.1,0
INV-000623,2022-12-29,West,Component X,Supplier-035,WH-East,3742,701,1930,40,3,2705,259.29,7.78,6,3.7,Medium,0.7,970263.18,58.2,0
INV-000624,2023-10-15,South,Component X,Supplier-039,WH-North,7762,489,2773,45,13,1811,125.13,6.06,19,4.2,Low,0.77,971259.06,84.0,0
INV-000625,2024-04-16,North,Raw Material A,Supplier-026,WH-West,7445,1250,2565,30,4,1174,396.92,7.45,11,2.6,Low,0.77,2955069.4,87.1,0
INV-000626,2022-03-01,North,Finished Good 2,Supplier-009,WH-West,6233,1190,2011,20,7,2004,397.05,8.68,17,3.3,Low,0.9,2474812.65,93.0,0
INV-000627,2023-11-25,East,Component X,Supplier-050,WH-West,4486,1813,4226,37,2,369,190.97,9.69,5,2.5,Medium,0.74,856691.42,31.8,0
INV-000628,2023-04-14,East,Equipment,Supplier-035,WH-North,1530,1600,3974,16,3,4241,356.79,3.25,7,3.4,High,0.76,545888.7,11.6,1
INV-000629,2024-07-09,South,Raw Material B,Supplier-036,WH-North,9533,483,519,26,10,1269,260.86,8.04,10,4.0,Medium,0.97,2486778.38,551.0,0
INV-000630,2022-02-16,North,Raw Material B,Supplier-006,WH-West,3201,844,3283,55,4,1689,256.92,3.92,14,2.9,Medium,0.71,822400.92,29.3,0
INV-000631,2024-10-06,West,Component X,Supplier-041,WH-East,366,1658,2893,22,8,3635,334.24,5.11,11,4.8,High,0.71,122331.84,3.8,1
INV-000632,2024-05-27,Central,Finished Good 1,Supplier-009,WH-North,7644,1782,2465,20,20,1995,293.43,6.31,1,2.4,High,0.82,2242978.92,93.0,0
INV-000633,2024-04-04,West,Packaging,Supplier-022,WH-South,4717,804,3786,23,14,1573,84.05,2.75,6,3.2,Medium,0.96,396463.85,37.4,0
INV-000634,2022-09-01,South,Equipment,Supplier-047,WH-North,8624,1937,2847,7,14,2754,311.54,2.52,4,2.6,Low,1.0,2686720.96,90.9,0
INV-000635,2024-07-17,Central,Component X,Supplier-022,WH-North,3250,1989,1622,19,6,3276,215.17,6.12,4,3.3,Low,0.75,699302.5,60.1,0
INV-000636,2024-09-06,West,Raw Material B,Supplier-010,WH-West,9963,480,4425,26,5,900,225.82,7.15,1,3.0,Medium,0.88,2249844.66,67.5,0
INV-000637,2022-05-06,West,Finished Good 2,Supplier-008,WH-West,6711,1886,749,46,26,2777,399.22,9.58,16,2.6,Medium,0.7,2679165.42,268.8,0
INV-000638,2024-04-04,Central,Raw Material A,Supplier-033,WH-South,5689,123,1849,34,20,677,376.06,5.89,6,2.2,Medium,0.99,2139405.34,92.3,0
INV-000639,2024-10-13,East,Component Y,Supplier-033,WH-West,8853,985,4012,26,1,3826,359.51,6.12,9,3.7,Medium,0.88,3182742.03,66.2,0
INV-000640,2023-04-29,West,Component Y,Supplier-026,WH-South,6785,988,2706,24,29,3655,418.59,4.44,7,2.5,Medium,0.77,2840133.15,75.2,0
INV-000641,2024-04-09,South,Finished Good 1,Supplier-025,WH-South,4227,1372,1911,32,10,1287,100.22,7.95,11,3.6,Low,0.85,423629.94,66.4,0
INV-000642,2024-11-27,West,Raw Material B,Supplier-031,WH-East,9888,1949,2792,40,5,4158,250.2,7.49,19,3.0,Critical,0.89,2473977.6,106.2,0
INV-000643,2022-10-28,North,Component X,Supplier-018,WH-South,6221,1865,4268,43,26,4372,480.29,2.31,4,1.3,Medium,0.7,2987884.09,43.7,0
INV-000644,2022-02-01,West,Equipment,Supplier-032,WH-North,2636,647,1343,13,7,4148,51.38,4.15,3,2.4,Medium,0.72,135437.68,58.9,0
INV-000645,2024-01-18,West,Raw Material B,Supplier-014,WH-West,2634,705,2473,3,12,3349,468.55,1.79,8,4.3,Low,0.99,1234160.7,32.0,0
INV-000646,2022-01-05,West,Raw Material A,Supplier-046,WH-North,954,442,2206,14,23,2955,73.19,1.54,9,4.1,Medium,0.93,69823.26,13.0,0
INV-000647,2024-02-10,South,Component Y,Supplier-009,WH-West,4948,1713,2999,7,18,1067,21.44,9.35,11,4.6,High,0.86,106085.12,49.5,0
INV-000648,2022-10-22,West,Finished Good 2,Supplier-037,WH-East,3831,394,4995,57,2,3159,97.46,6.81,18,1.3,Medium,0.77,373369.26,23.0,0
INV-000649,2022-06-22,South,Finished Good 2,Supplier-007,WH-West,754,1150,4031,57,2,4409,226.05,9.01,0,4.1,Medium,0.72,170441.7,5.6,1
INV-000650,2022-12-17,South,Finished Good 2,Supplier-014,WH-South,5984,1333,3024,52,4,4027,136.27,5.95,13,3.0,Low,0.94,815439.68,59.4,0
INV-000651,2023-01-05,West,Raw Material A,Supplier-019,WH-West,3922,1336,365,54,20,1443,226.89,2.94,4,2.7,High,0.97,889862.58,322.4,0
INV-000652,2023-04-04,West,Raw Material B,Supplier-017,WH-South,4650,1800,3026,58,20,1986,236.31,2.98,10,2.5,Low,0.78,1098841.5,46.1,0
INV-000653,2023-12-17,West,Equipment,Supplier-045,WH-East,1793,649,357,11,23,2068,496.16,2.81,4,2.9,Medium,0.75,889614.88,150.7,0
INV-000654,2023-11-03,West,Component Y,Supplier-022,WH-North,9006,1502,3748,37,5,1888,276.93,3.5,16,4.1,Low,0.99,2494031.58,72.1,0
INV-000655,2022-11-23,South,Equipment,Supplier-034,WH-West,3256,1631,2857,41,22,2464,384.74,2.45,10,4.7,Low,0.83,1252713.44,34.2,0
INV-000656,2022-06-26,South,Component X,Supplier-008,WH-North,8677,918,4783,37,14,2518,47.57,1.83,13,4.6,Medium,0.93,412764.89,54.4,0
INV-000657,2024-03-16,West,Equipment,Supplier-040,WH-Central,5780,1718,3610,59,28,541,301.61,9.04,12,1.8,Low,0.83,1743305.8,48.0,0
INV-000658,2024-01-20,South,Raw Material B,Supplier-041,WH-East,2959,1267,3873,58,29,302,139.24,5.95,14,3.8,High,0.78,412011.16,22.9,0
INV-000659,2022-01-31,North,Component X,Supplier-048,WH-Central,5820,1312,3209,25,27,4624,132.5,2.59,14,4.9,Medium,0.84,771150.0,54.4,0
INV-000660,2023-11-18,East,Equipment,Supplier-035,WH-North,9401,1342,1233,44,0,2408,497.48,5.94,1,3.4,High,0.83,4676809.48,228.7,0
INV-000661,2024-07-05,Central,Component Y,Supplier-010,WH-South,8360,987,2977,59,14,331,157.39,2.85,9,2.4,Medium,0.86,1315780.4,84.2,0
INV-000662,2022-08-03,East,Raw Material B,Supplier-010,WH-East,2599,559,4290,7,22,2329,435.85,6.99,10,4.2,Low,0.97,1132774.15,18.2,0
INV-000663,2023-06-27,East,Component Y,Supplier-041,WH-Central,7152,739,1425,37,28,2131,231.04,8.91,0,4.4,Low,0.73,1652398.08,150.6,0
INV-000664,2024-04-09,Central,Component Y,Supplier-050,WH-South,4955,1892,3213,50,26,326,191.22,2.06,0,1.2,High,0.86,947495.1,46.3,0
INV-000665,2022-11-04,West,Raw Material B,Supplier-002,WH-East,4574,406,2563,41,5,1606,71.34,5.74,11,2.4,Low,0.72,326309.16,53.5,0
INV-000666,2022-05-30,East,Finished Good 1,Supplier-006,WH-West,5843,1533,4363,39,15,2732,331.83,4.01,2,3.4,Low,0.88,1938882.69,40.2,0
INV-000667,2024-12-06,West,Raw Material A,Supplier-028,WH-Central,979,1281,953,35,22,4739,267.69,8.34,13,4.3,Low,0.88,262068.51,30.8,1
INV-000668,2022-12-23,West,Component X,Supplier-017,WH-Central,8778,244,1162,40,26,4448,310.02,0.96,9,2.1,Medium,0.98,2721355.56,226.6,0
INV-000669,2022-05-29,North,Component Y,Supplier-033,WH-South,2067,240,402,9,17,3079,416.9,7.11,12,4.6,Low,0.95,861732.3,154.3,0
INV-000670,2022-10-12,South,Component Y,Supplier-013,WH-East,355,1375,4644,51,4,4425,397.97,6.63,5,2.4,Low,0.76,141279.35,2.3,1
INV-000671,2023-11-02,Central,Raw Material B,Supplier-029,WH-South,3904,153,3854,9,0,2293,51.4,7.91,1,2.0,Low,0.82,200665.6,30.4,0
INV-000672,2024-03-25,Central,Component X,Supplier-038,WH-West,7390,1370,4677,1,19,590,24.7,5.74,8,1.0,High,0.75,182533.0,47.4,0
INV-000673,2024-07-24,Central,Raw Material A,Supplier-006,WH-North,5360,1149,1981,26,16,2577,263.23,4.73,19,2.1,Low,0.91,1410912.8,81.2,0
INV-000674,2022-03-22,South,Finished Good 1,Supplier-019,WH-East,8962,1297,1619,45,25,3942,63.23,2.92,8,3.9,Medium,0.88,566667.26,166.1,0
INV-000675,2024-12-30,Central,Component Y,Supplier-050,WH-North,9204,234,4036,42,15,1341,486.63,8.85,19,3.5,Medium,0.96,4478942.52,68.4,0
INV-000676,2023-07-04,East,Raw Material B,Supplier-020,WH-West,6800,1139,677,43,7,2679,333.23,8.99,10,2.8,Low,0.9,2265964.0,301.3,0
INV-000677,2023-04-27,Central,Component Y,Supplier-041,WH-South,55,544,3517,28,24,2320,438.04,5.23,3,3.7,Low,0.73,24092.2,0.5,1
INV-000678,2024-05-30,North,Component Y,Supplier-033,WH-Central,3108,347,2344,37,6,160,14.55,9.11,5,3.1,High,0.72,45221.4,39.8,0
INV-000679,2023-08-15,West,Equipment,Supplier-022,WH-East,9034,368,4076,24,28,4760,229.6,0.88,6,2.7,Low,0.72,2074206.4,66.5,0
INV-000680,2022-02-03,West,Finished Good 1,Supplier-008,WH-South,4940,257,1937,55,5,1667,230.92,8.5,5,1.5,Medium,0.76,1140744.8,76.5,0
INV-000681,2022-11-21,North,Packaging,Supplier-002,WH-North,8893,736,3366,48,1,3434,122.52,8.15,16,2.5,Medium,1.0,1089570.36,79.3,0
INV-000682,2022-09-17,South,Finished Good 2,Supplier-020,WH-West,4164,926,2726,36,22,912,43.67,8.3,7,1.4,Low,0.77,181841.88,45.8,0
INV-000683,2022-03-19,South,Component X,Supplier-010,WH-South,3510,518,1421,1,5,3377,140.01,6.64,16,3.4,Low,0.81,491435.1,74.1,0
INV-000684,2023-11-09,Central,Finished Good 1,Supplier-030,WH-East,3345,1743,3286,17,2,816,341.38,5.89,6,4.5,Medium,0.87,1141916.1,30.5,0
INV-000685,2022-03-11,Central,Finished Good 1,Supplier-032,WH-Central,306,1585,2253,44,12,2315,18.13,8.42,1,1.5,Low,0.8,5547.78,4.1,1
INV-000686,2023-04-16,East,Raw Material A,Supplier-004,WH-North,721,1300,4573,39,28,3364,250.0,7.8,6,3.7,Low,0.74,180250.0,4.7,1
INV-000687,2024-06-06,West,Component Y,Supplier-031,WH-North,6875,1649,4168,12,25,3493,222.11,9.4,2,1.9,Medium,0.91,1527006.25,49.5,0
INV-000688,2023-05-29,Central,Finished Good 1,Supplier-011,WH-East,2443,1620,1509,38,21,2288,132.41,8.3,11,1.8,Low,0.95,323477.63,48.6,0
INV-000689,2024-11-05,North,Finished Good 2,Supplier-013,WH-East,4974,546,2973,37,27,3404,149.43,3.65,10,4.2,Medium,0.91,743264.82,50.2,0
INV-000690,2023-08-21,South,Finished Good 2,Supplier-004,WH-North,5035,279,1766,39,12,1683,109.6,1.94,3,3.2,Medium,0.88,551836.0,85.5,0
INV-000691,2022-09-24,Central,Finished Good 2,Supplier-034,WH-North,8249,1214,4527,29,4,4793,324.28,2.01,17,4.8,Critical,0.76,2674985.72,54.7,0
INV-000692,2023-09-03,South,Finished Good 2,Supplier-022,WH-South,8054,1770,530,14,3,3550,236.04,8.64,14,4.9,High,0.9,1901066.16,455.9,0
INV-000693,2023-11-23,West,Component Y,Supplier-040,WH-North,228,872,4939,38,16,3543,387.93,7.51,13,3.6,Medium,0.79,88448.04,1.4,1
INV-000694,2024-11-14,East,Packaging,Supplier-009,WH-South,286,1689,3944,35,21,214,352.46,9.86,15,2.6,Medium,0.92,100803.56,2.2,1
INV-000695,2022-05-16,South,Finished Good 2,Supplier-047,WH-West,8515,1756,4978,11,17,4944,276.56,9.0,17,2.2,Medium,1.0,2354908.4,51.3,0
INV-000696,2022-06-22,South,Equipment,Supplier-019,WH-North,4677,786,4513,18,27,1260,485.29,9.29,0,1.6,Low,0.81,2269701.33,31.1,0
INV-000697,2023-08-04,Central,Component X,Supplier-030,WH-West,3320,1881,2905,10,8,225,196.7,6.98,18,2.9,Critical,0.94,653044.0,34.3,0
INV-000698,2023-12-12,Central,Equipment,Supplier-004,WH-East,7515,264,3441,49,27,4316,437.86,3.25,1,2.9,Medium,0.85,3290517.9,65.5,0
INV-000699,2024-07-14,West,Raw Material B,Supplier-022,WH-West,2608,274,2259,9,15,3811,238.98,5.06,14,1.0,Low,0.81,623259.84,34.6,0
INV-000700,2024-11-05,East,Equipment,Supplier-035,WH-East,8149,1281,4552,9,4,2516,111.88,0.8,14,3.8,High,0.84,911710.12,53.7,0
INV-000701,2024-07-26,Central,Finished Good 2,Supplier-025,WH-East,848,371,2331,50,8,363,319.08,6.59,19,2.4,High,0.99,270579.84,10.9,0
INV-000702,2022-03-15,East,Component Y,Supplier-019,WH-North,2723,1463,4592,29,24,1677,247.71,2.71,4,4.4,Critical,0.9,674514.33,17.8,0
